tag,uptimeMillis,rms,peak,dbfs,zeroRatio,readResult,callState,audioMode,outputDevice
AAWAZ_DIAG,186759609,562.3,2075,-35.3,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186760114,523.8,1677,-35.9,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186760616,509.8,1983,-36.2,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186761117,447.5,2087,-37.3,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186761616,348.6,1394,-39.5,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186762115,486.2,1868,-36.6,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186762615,532.3,2465,-35.8,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186763115,629.4,2250,-34.3,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186763612,555.9,2282,-35.4,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186764116,648.3,2192,-34.1,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186764614,375.4,1301,-38.8,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186765111,367.4,1584,-39.0,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186765615,409.7,1558,-38.1,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186766114,340.3,1355,-39.7,0.002,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186766614,331.7,1481,-39.9,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186767113,559.2,3026,-35.4,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186767614,381.8,1580,-38.7,0.002,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186768114,377.5,1762,-38.8,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186768615,628.6,3031,-34.3,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186769115,460.9,1987,-37.0,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186769615,663.6,2272,-33.9,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186770115,433.7,1810,-37.6,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186770614,355.0,1325,-39.3,0.002,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186771112,452.0,1722,-37.2,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186771614,513.1,1709,-36.1,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186772115,414.6,2143,-38.0,0.002,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186772615,550.8,2027,-35.5,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186773114,747.5,2602,-32.8,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
